cds;CdsProperties;Properties to configure CDS Services;com.sap.cds.services.environment.CdsProperties;true;true
cds.environment;Environment;Properties for environments, like local development or Cloud Foundry.;;true;false
cds.environment.local;Local;Properties for the local environment.;;true;false
cds.environment.local.defaultEnvPath;String;Specification of the default environment JSON file. If this property starts with "classpath:", it is read<br>as classloader resource. Otherwise it is interpreted as file-system path.<br>The file content follows the structure of Cloud Foundry's VCAP_SERVICES and VCAP_APPLICATION environment variables.<br>If this property specifies a folder, the filename `default-env.json` is appended to it.;;false;false
cds.dataSource;DataSource;Properties for the primary data source, used by the default persistence service.;;true;false
cds.dataSource.embedded;boolean;Determines, if the data source is considered embedded (in-memory).;;false;false
cds.dataSource.binding;String;The name of the primary service binding, used by the default persistence service.;;false;false
cds.dataSource.csv;Csv;Properties for CSV initialization.;;true;false
cds.dataSource.csv.initializationMode;String;Determines in which scenarios the default persistence service is initialized with CSV data.<br>By default, CSV initialization only happens, if the data source is embedded (in-memory).<br>Possible values are: `embedded`, `never`, `always`.;;false;false
cds.dataSource.csv.fileSuffix;String;The file suffix of CSV files.;;false;false
cds.dataSource.csv.paths;List<String>;The file-system paths to search for CSV files in.<br>Using `/**` at the end of the path triggers a recursive search.;;false;false
cds.dataSource.csv.singleChangeset;boolean;Enables import of all CSV files in a single changeset. By default, each CSV file is imported in a separate changeset.;;false;false
cds.dataSource.autoConfig;Enabled;Properties to control the `DataSource` auto-configuration from service bindings.;;true;false
cds.dataSource.autoConfig.enabled;boolean;Determines, if it is enabled.;;false;false
cds.model;Model;Properties for the CDS model.;;true;false
cds.model.csnPath;String;The resource path to the `csn.json` file.;;false;false
cds.model.includeUiAnnotations;boolean;Determines, if UI annotations are included in the model.;;false;false
cds.model.provider;Provider;The model provider configuration.;;true;false
cds.model.provider.url;String;The URL of the Model Provider.;;false;false
cds.model.provider.cache;Cache;Properties for the CDS model and EDMX metadata caches.;;true;false
cds.model.provider.cache.maxSize;int;The number of entries in the CDS model and EDMX metadata caches.;;false;false
cds.model.provider.cache.expirationTime;int;The lifetime of an entry in seconds after the entry's creation, the most recent replacement of its value, or its last access.;;false;false
cds.model.provider.cache.refreshTime;int;The time in seconds after which a cached entry is refreshed.;;false;false
cds.security;Security;Properties for security configurations of services and endpoints.;;true;false
cds.security.logPotentiallySensitive;boolean;Determines, if potentially sensitive data, for example values in CQN queries, might be logged.;;false;false
cds.security.authentication;Authentication;Properties for authentication in general.;;true;false
cds.security.authentication.mode;String;Determines the mode that is used when authenticating endpoints of protocol-adapters. Possible values are:<br>- never: No endpoint requires authentication<br>- model-relaxed: Authentication is derived from @requires/@restrict, defaults to public endpoints.<br>- model-strict: Authentication is derived from @requires/@restrict, defaults to authenticated endpoints.<br>- always: All endpoints require authentication;;false;false
cds.security.authentication.authenticateMetadataEndpoints;boolean;Determines, if OData $metadata endpoints enforce authentication.;;false;false
cds.security.authentication.authenticateUnknownEndpoints;boolean;Determines, if security configurations enforce authentication for endpoints not managed by protocol-adapters.;;false;false
cds.security.authentication.normalizeProviderTenant;boolean;Determines, if the provider tenant is normalized to `null`.;;false;false
cds.security.authorization;Authorization;Properties for authorization.;;true;false
cds.security.authorization.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.authorization.draftProtection;Enabled;Properties to control the protection of drafts.<br>If a draft is protected, it is only accessible by its creator.;;true;false
cds.security.authorization.draftProtection.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.identity;Identity;Properties for authentication based on Identity Service (IAS).;;true;false
cds.security.identity.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.identity.authConfig;Enabled;Properties for the Identity Spring security auto-configuration.;;true;false
cds.security.identity.authConfig.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.xsuaa;Xsuaa;Properties for authentication based on XSUAA.;;true;false
cds.security.xsuaa.binding;String;The name of the XSUAA service binding, used for the XSUAA security auto-configuration.;;false;false
cds.security.xsuaa.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.xsuaa.authConfig;Enabled;Properties for the XSUAA Spring security auto-configuration.;;true;false
cds.security.xsuaa.authConfig.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.mock;Mock;Properties for authentication based on mock-users.;;true;false
cds.security.mock.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.mock.users;Map<String,User>;The mock-users, used for basic authentication in local development and test scenarios.<br>The key can be chosen arbitrarily and is used as the user name, if the `name` property is not explicitly defined.<br>In addition it can be leveraged to split configuration across multiple profiles.;com.sap.cds.services.environment.CdsProperties$Security$Mock$User;true;false
cds.security.mock.users.<key>.id;String;The ID of the mock-user.;;false;false
cds.security.mock.users.<key>.name;String;The (mandatory) name of the mock-user.<br>It's used to perform the basic authentication.;;false;false
cds.security.mock.users.<key>.password;String;The (optional) password of the mock-user.<br>It's used to perform the basic authentication.;;false;false
cds.security.mock.users.<key>.tenant;String;The tenant of the mock-user.;;false;false
cds.security.mock.users.<key>.systemUser;boolean;Determines, if this mock-user is treated as a system user.;;false;false
cds.security.mock.users.<key>.privileged;boolean;Determines, if this mock-user is treated as the privileged user.;;false;false
cds.security.mock.users.<key>.internalUser;boolean;Determines, if this mock-user is treated as the internal user.;;false;false
cds.security.mock.users.<key>.roles;List<String>;The list of roles, that are assigned to this mock-user.;;false;false
cds.security.mock.users.<key>.features;List<String>;The list of enabled feature toggles for this user. If set, it overrules features of the tenant (if provided).;;false;false
cds.security.mock.users.<key>.attributes;Map<String,List<String>>;A map of user attributes, that are assigned to the mock-user.<br>The name of the attribute needs to be given as the key.<br>The attribute values are provided as a list.;;false;false
cds.security.mock.users.<key>.unrestricted;List<String>;A list of attribute names, for which the mock-user has no restrictions.<br>This is treated as if the mock-user effectively had all possible values of this attribute assigned.;;false;false
cds.security.mock.users.<key>.additional;Map<String,Object>;A map of additional properties of the mock-user.<br>It can be used to mock authentication specific properties (e.g. email address).<br>The name of the additional attribute needs to be given as the key.<br>The value of the attribute can be provided as an arbitrary object.;;false;false
cds.security.mock.defaultUsers;Enabled;Enables a list of default mock-users.;;true;false
cds.security.mock.defaultUsers.enabled;boolean;Determines, if it is enabled.;;false;false
cds.security.mock.tenants;Map<String,Tenant>;The tenants in local development and test scenarios.<br>The key can be chosen arbitrarily and is used as the tenant name, if the `name` property is not explicitly defined.<br>In addition it can be leveraged to split configuration across multiple profiles.;com.sap.cds.services.environment.CdsProperties$Security$Mock$Tenant;true;false
cds.security.mock.tenants.<key>.name;String;The (mandatory) name of the tenant;;false;false
cds.security.mock.tenants.<key>.features;List<String>;The list of enabled feature toggles for this tenant.;;false;false
cds.indexPage;Servlet;Properties for the index page.;;true;false
cds.indexPage.path;String;The base-path of the adapter endpoint.;;false;false
cds.indexPage.enabled;boolean;Determines, if it is enabled.;;false;false
cds.odataV4;ODataV4;Properties for the OData V4 protocol adapter.;;true;false
cds.odataV4.contextAbsoluteUrl;boolean;Determines, if URLs in the @odata.context response annotation are absolute.;;false;false
cds.odataV4.edmxPath;String;The JAR resource path to search for OData V4 EDMX files.;;false;false
cds.odataV4.endpoint;Servlet;Properties of the OData V4 protocol adapter endpoint.;;true;false
cds.odataV4.endpoint.path;String;The base-path of the adapter endpoint.;;false;false
cds.odataV4.endpoint.enabled;boolean;Determines, if it is enabled.;;false;false
cds.odataV4.batch;Batch;Properties for OData batch requests.;;true;false
cds.odataV4.batch.maxRequests;long;Defines the maximum number of requests within OData batch requests. By default, no limit applies.;;false;false
